sentence	source
hi ok so let's have a look at how we can write some code which is non deterministic and then fix it up in different ways so here we go let's get started right i've got a little main method down here and i'm going to create ten threads and each time i go to store the address inside my little ray here of thread i ds and then i call pizza at exit so we know that at that point the main thread is done ok but the rest of the process lives on our ten little fence live on ok what do they do case so here's our game plan let's	['code', 'thread', 'address', 'code', 'thread', 'address', 'code', 'thread', 'address']
hi ok so let's jump to a different level let's jump back into the c library perhaps you wanna write some very portable code it doesn't require on requires to think about these low level posix interface is we just want to write code that works say in windows as well maybe you kind of other operating systems that support the c library and which is kind of everything so let's have a look at how we can kind of jump around	['code', 'system', 'code', 'system']
hi ok so let's make it a little bit more complicated now let's have a whole load of data structures ok so in this case i'm actually going to have eight different data structures here we go right and so for each one of these i'm going to use a condition variable to block when things are not ready and i'm going to need eight different locks now i probably could implement this code with just a single lock but then i might have unnecessary lock contention so lock contention is when one thread would like to continue but it can't because another thread is currently holding the lock and so of course that effects performance sometimes we actually need that behavior when another field is kind of into the same critical section but we could probably in this problem get by with a fewer number of locks sorry a few more locks in order to reduce lock contention so so in this case we have we've got eight condition variables and eight locks plus here's my data structure is actually is going to be of eight integers but i want you to imagine that this actually could be a lot more complicated ok right so i've got some initialization to initialize all my condition variables and locks as you can see all i'm doing is using the array name	['block', 'a struct', 'code', 'section', 'thread']
hi ok so let's talk about critical sections of functions which are not necessarily thread safe in terms of their implementation so here's a little example based on some real code where we want to be able to internally log errors so we don't want to display them to the console now we actually want to store them on some file so let's have a quick look to see how it works so when you call my log error function it takes an error number some integer and an optional message which eventually we're going to save to a file so you'll see down here we call f printf we're going to store it in this file handle when we've just got a string of the message and some error string as well and then finally let's flush that as well so it is actually definitely written out of the file ok now let's look at some of the other details first of all notice that	['code', 'printf', 'string', 'section', 'thread', 'code', 'printf', 'string', 'section', 'thread']
hi ok so we both through five different examples of where we sought deadlock or not no deadlock and fundamentally it was the request sequence that determines whether we actually ran into deadlock or not so what can we do to prevent deadlock and one algorithm that our system could use is something called the bankers algorithm so if the operating system knew in advance what resources particular process wanted so if we knew an example example for example the process one is going to need let's say eight aa whatever azar and say three bees whatever bees are but no season dies	['resources', 'system', 'resources', 'system']
hi so it's quite common to put aside a little bit of heat memory in order to define exactly what we want our thread to do so i want to give you an example of that and then talk about how would set it up right so here's the idea suppose i had an away and i want to be able to kind of process all the elements in my way and fortunately my task is embarrassingly parallel some part of it is meaning that i can easily just spit up my data and say ok thread you do this half and another thread ok you do that half so right now what if i got so i've got method then that i want or function that i want to speed up i want to make multithreaded here it is is my little calc method here and it's given a pointer to an integer ie the very first element of my array and the number of items we'd like to process ok so if we're going to speed things up let's just split this down the middle it doesn't make sense for one thread to say work on all the even indexed items and another fair to work and the odd indexed items that wouldn't be very great for cash there is much better to split it down the middle ok so will calculate the half of it and then game plan then is to create a thread or two to do this so for example we might do the following this call p thread create we're going to make a note of the thread id we don't pass we don't need pass any attributes today and then here's the actual image calculation method that we're going to use that we're going to use to actually do the calculation i just need to when i call that actually kind of passing some hints about what it should be doing so let's make a little task and put that on the heap so we'll have a little pointer here called say task one key which will represent what would like that thread to do ok so let's set this up right so what kind of information do i want to send to my image calculation well i probably would want to send the actual data so in this case this is just a pointer to the data so that can be data and then i need to decide or define how i want to specify the range that i wanted to work in there so i for example i could could specify the data always points to the beginning of the array and then provide a start and an end just like we did with the tiles before alternatively i could say that because it's just a simple contiguous array i could say that point going to pass into here is always the beginning of where i want my calculation to start i just need to say the number of items so let me put another squeeze in here another item in here so i've got the	['the following', 'memory', 'the heap', 'a thread', 'thread', 'pointer']
hi so it's quite common to put aside a little bit of heat memory in order to define exactly what we want our thread to do so i want to give you an example of that and then talk about how would set it up right so here's the idea suppose i had an away and i want to be able to kind of process all the elements in my way and fortunately my task is embarrassingly parallel some part of it is meaning that i can easily just spit up my data and say ok thread you do this half and another thread ok you do that half so right now what if i got so i've got method then that i want or function that i want to speed up i want to make multithreaded here it is is my little calc method here and it's given a pointer to an integer ie the very first element of my array and the number of items we'd like to process ok so if we're going to speed things up let's just split this down the middle it doesn't make sense for one thread to say work on all the even indexed items and another thread to work in the audience next items that wouldn't be very great for cash there is a much better to split it down the middle ok so will calculate the half of it and then game plan then is to create a thread or two to do this so for example we might do the following	['the following', 'memory', 'a thread', 'thread', 'pointer']
hi so let's look at complete solution of my implementation of get line first a couple things to point out is you know we can actually check to see if the point is we're being given a valid we expect all of these pointers to actually point to be non null so let's use assert to check that each of these values is a non zero ok so our next piece of code was to check to see if we don't actually have a valid piece of heap memory to use so i'm going to follow the pointers were given because remember our point is actually pointing back	['heap memory', 'memory', 'code', 'pointer']
hi so let's review some ideas from c code first of all what do you think the size of char is？ at this point you say oh now i know this ones easy the size of chart is defined to be one yes the character in c is actually a fundamental way of how we talk about addressable memory and so that's kind of the fundamental unit of one item that we can read or write so that is defined to be one in c code and have a look at their supposing one someone said the following i've got x what is x it's a pointer to in it and we've initialized it to hold the following value now we chose today to write that as a hexadecimal value but we could have also just used integer just a regular decimal integer as well and then someone says ok so what do you think the value of x plus one is at this point you need to say oh ok hold on a moment i know about pointer arithmetic	['the following', 'memory', 'code', 'address', 'pointer']
hi take a look at the following code we got quite a few things going on first of all we're actually using fork and remember what fork does focuses hey take this current process and duplicated for kits and now that you've got the original parent process and a child process and these two processes look very similar to one another they have the same variable setup they have they have some stack memory they have heap memory they have all of the program code but there is one little difference one easy way to tell whether you are in the parent on the child and the answer to that is what is your value of fork return	['the following', 'heap memory', 'memory', 'code']
hi welcome to lecture 38, so let's get started right today we're going to do some review ideas and also go into some operating system ideas as well. so let's start with going all the way back to threads and ask why is the following code threadsafe ok so let's have a look at it what's it doing. right so i've got a function. it takes a pointer to some memory, sleeps for second and then it assumes that there's a string of that memory. so will cast that	['the following', 'memory', 'code', 'string', 'thread', 'system', 'pointer']
hi welcome to lecture eight we're going to spend it mostly fletcher talking about memory allocation but before we do that let's have a look at little puzzle ok so first question for you why is it that we put the heaps so far away from this stack why is it that we organize our memory this way so to try to answer this and let's think about how these structures can grow in time both the heap and the stack can dynamic dynamic in the sense that they can get significantly larger so heat gets larger when we call malloc for example and stack gets larger when we recurse so every time we make another function call i'm going to need to extend my my stack space so for for architectures that only have a limited address space so particularly true on say sixteen bit and thirty two bit architectures let's put these two structures as far away as possible so that the likelihood of them colliding is small	['memory', 'memory allocation', 'the heap', 'address']
hi welcome to lecture fourteen so let's dive in and have a look at some threads unlocked are you ready ok so let's get started right so take a look at this crazy code here and this work out what's going to happen on a sixty four bit machine and thirty two bit machine so your first comment is how could this possibly compile hello is not an int ok so what do we have here well of course we have a string literal so this is going to behave as an array but can also decay into just a pointer point being the memory address of this first entry the age ok so that memory address could be treated as an int right which we then store into this variable and then later we say ok take that in value and pass it so and change its type backed into a character pointer	['memory', 'type', 'code', 'string', 'thread', 'address', 'pointer']
hi welcome to lecture seven so we're going to look at how to build a shell how to play with signals and how to review some system code so let's start with that here's our first little problem here's some c code and we wanted to see if we can spot any errors in this so let's go through this and see what we see if we can understand how it works what is trying to do and how we might improve it so what do we see ok i get my little pen going right so right i have a our method here main method and i'm checking to see if oxy is not equal to two in other words this little program that expects its own name and some command file to run ok let's find out what that means in a moment and so the usage here is not correct what we wanted was the first string arguments so i could have written argv of zero there	['a shell', 'code', 'string', 'system']
hi welcome to lecture twenty one so let's get started with a bit of a code review suppose you were given the following code asked to review it, ok what do we think of the following so how can we improve it and what's its purpose so it's called acquire and for gravity to fit onto this slide i've said pmt for p thread mutex if this truly was in the code i might say why we doing why do we have this typedef let's just stick with the regular types but anyway so we get two pointers too	['the following', 'type', 'code', 'thread', 'pointer']
hi welcome to lecture twenty so let's have a code review where we're going to talk about a little bit of code that uses condition variables are you ready ok so my little application is very simple it's just got two threads one thread some point is going to modify this value of x and then call signal another thread is waiting for x d b positive so we can think of this basically like a latch and only after it's become positive do we continue right so what do we think about this code	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
hi welcome to let your nine so we're going to start looking at how to build a memory allocator in other words we want to implement malloc and calloc and realloc so let's get started and think how we're going to do that right so here's the game plan we're going to need a data structure to keep track of the pieces of memory that we've currently allocated plus later when they are freed we want to keep track of those for items so that we can provide them for future allocations so the bedrock of our implementation is going to be this little memory structure in here so let's take a look at this right so what are we got well today we're talking about a struct which is a way for us to put a whole lot of information together in this case we're going to have a pointer for the users area of this particular application how large it is and whether this particular entry represents some memory that is currently in use another words malloc has been called in the users using it or is available for future allocations in other words free has been called on this block of memory and we should consider it for future allocations right now a couple of quick point about this is that i don't have to keep writing struct metadata entry each time every time i want to talk about this piece of this piece of this structure i have to when i'm talking about a link list so here is my linked list so that i can chain these together but for other times i don't want to have to keep writing the word stripe let's be lazy and for that we're going to use the c word called typedef typedef you can think of is just an	['memory', 'block', 'type', 'a struct', 'pointer']
hi. so, ok, we've talked about a scanf() which would read from default from the standard input but guess what we can do a lot more using the same ideas so we call it the scanf family just like printf has a family we can say instead you know what i don't want to just read from standard in i want to specify which file to read from which filestream so this f scanner for that or you might say actually guess what i've got some bytes in memory that i did as a c string and i want to pass the output from that so in which case i can use snf and all i need to do is pass in the address of my c string right so	['memory', 'printf', 'string', 'address']
how can we analyze this right so i've got a pizza it create an i'm storing somewhere the fed id 's and i'm going to say ok i want to thread that is going to start functioning and let's start function be and we're going to pass a void pointer the address of the string literals so the address of the capital a and address of the cadillacs to each one right so what will function be do function be then get this pointer and so we're giving it the address of xyz so when this runs and we're not quite sure when it will run it will print out xyz	['string', 'thread', 'address', 'pointer', 'string', 'thread', 'address', 'pointer', 'string', 'thread', 'address', 'pointer']
how can we analyze this right so i've got a pizza it create an i'm storing somewhere the fed id 's and i'm going to say ok i want to thread that is going to start functioning and let's start function be and we're going to pass a void pointer the address of the string literals so the address of the capital a and address of the capital x to each one right so what will function be do function be then get this pointer and so we're giving it the address of xyz so when this runs and we're not quite sure when it will run it will print out xyz	['string', 'thread', 'address', 'pointer']
how can we analyze this right so i've got a pizza it create and i'm storing somewhere the thread ids and i'm going to say ok i want a thread that is going to start function a and let's start function be and we're going to pass a void pointer the address of the string literals so the address of the capital a and address of the capital x to each one right so what will function b do function b then get this pointer and so we're giving it the address of xyz so when this runs and we're not quite sure when it will run it will print out xyz	['a thread', 'string', 'thread', 'address', 'pointer']
how large can of rb before triple indirect blocks are required ok so to answer this one it means we're going to use the ten direct blocks so that's going to be forty kilobytes then we have the indirect block so my indirect block itself is four kb but we're using thirty two bit addressing so that means each one of those entries here is going to be a number which takes four bytes for my thirty two bits ok so for my four kb block here that means i can have	['block', 'address', 'block', 'address']
how much memory on the heap do i need the size of my my little type here and a reminder that yes these are variables and they represent some memory sure but the actual objects themselves you can think of them like file handles that they actually exist as part of the part of the kernel so that's why i need to call p thread mutex initiate please create an object for me based on store a reference to that inside this memory structure so i've got my two locks now let's see what happens right so as part of the read i'm going to call read lock ok so i'm just going to call p thread mutex lock and then afterwards petered mutex unlock key and then the right i first of all i'm going to get the right lock then i'm going to get the read lock and i'm going to do some writing so what do we think about this is mutex locks sufficient to implement this right so take a moment to think about that and then i'll tell you in my point of view	['memory', 'the heap', 'type', 'thread']
hundred seconds but you get the idea right so that's all stepping stone to using a condition variable we do need a loop i'll tell you one big reason why in a moment and what do we need to do we replaced the sleep where their pee thread condition weights and here's a condition variable we're going to ask a threat to sleep in and we also going to release a mutex so it's we discovered it is always necessary to use a mutex because we're going to write code in here where we want to test some condition and then later use that the assumption that condition is now true so we need a mutex lock to ensure that we are the only person get there can be modified data structure so we end up biting p thread mutex lock cave right so there's the log and then later we unlock it	['a struct', 'code', 'a mutex', 'thread']
i just want to print print out everything and for that i'm going to use right today remember how it works is you simply say here's a memory address start sending the following bytes and as we're sending this to a terminal we're going to see that as ascii values so i've just got a very simple a piece of code here that goes through this prints out a width number of bytes and a little bit of calculation here to workout where in that heap i should start from at the end of that do a new lines have gone to the next one and then i need some control characters so this oh thirty three is actually the value twenty seven	['the following', 'memory', 'a terminal', 'code', 'address']
i might have a thread that say forgets to call sam post or for some other forget or some bug causes some event not to occur and then you get all of this fall out where other threads and other processes are unable to continue because they are also waiting for that for that thread or the other process so you'll see this occasionally on your phone or on your laptop where one little issue say with their gui process or gui thread now starts to have cascading problems and your deadlock starts to affect other systems as well because everything else grinds to a halt and there's multiple dependencies between all of our threads and processes ok so that's deadlock what what we'd like to be able to do is ensure	['a thread', 'thread', 'system', 'a thread', 'thread', 'system', 'a thread', 'thread', 'system', 'a thread', 'thread', 'system', 'a thread', 'thread', 'system', 'a thread', 'thread', 'system']
i wanted to first of all create a a process where i've got a global variable little m here and we're going to initialize it by asking it to hold the memory address of this string literal in other words it's going to hold the address of where to find that that w there ok what do we do inside a little program here we have a little bit available could a we called fork and the return type of focus this process process id type	['memory', 'type', 'a process', 'string', 'address']
i'm going to sum up the integers and if you know i'm sure you've seen this inside once every three right or you can do it recursively you can do this inductively or you can do it with lego as well you know that the sum is equal to n times n plus one over two right so in other words we expect a total of that right by the way i said you could do it with lego blocks here's the reasoning with lego blocks if you still some lego blocks from your younger sibling	['block', 'block', 'block', 'block']
if anything else we need to do yeah well we're writing a method which both to push and pop can can block so if i just put something onto this onto my way it could be that there's another thread waiting to pop things from the data structure so after i've modified it i'm going to call p threat condition broadcast	['block', 'the data structure', 'a struct', 'thread', 'block', 'the data structure', 'a struct', 'thread', 'block', 'the data structure', 'a struct', 'thread', 'block', 'the data structure', 'a struct', 'thread']
if that ever had occured what would what would you expect it to see where maybe that piece of memory that we were overwriting is being used for a different variable and so we might have seen a subtle error later on in our code because we change different variable or worse perhaps we changed a pointer in memory of the return address for something so now our code crashes or does something unexpected and exciting	['memory', 'code', 'address', 'pointer']
if the threads have gone to sleep inside p thread condition wait there only allowed to escape out of that after they reacquired the mutex log so that's the key idea that only one third of the time can be running this piece of code and it allows us to actually reason about this so we know that when we escape out of here the very first thread will see of fireworks value of one because we changed it upstairs in the main method so we implement so we increment it to two case of wig the first escapes out of here will	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
if we also had onto the mutex lock earlier if our musics lock had been one of the first things we've done then yes we would have encountered deadlock because the d q could not have continued it would have waited for that that mutex lock that would have never been never been released definition of deadlock waiting for an event that never happens so we didn't find deadlock just there there we came awfully close right what else can we find out about this code then ok so let's see the same post happens early ok that we're actually increasing increasing the count of the number of items in our buffer before we even changed the buffer values ok so we're basically going to add one discounted here so if somebody was waiting to extract value in other words if a thread had already called d cube but was waiting here because the count of s two was zero we're going to release them from that early oh yeah so this land sounds like a recipe for	['code', 'a thread', 'thread', 'code', 'a thread', 'thread']
in order to make it more thread safe now the last thing you might have been thinking about when i was talking about this is hold on a moment what about earner what is this other thing and wins it set ok so oh no is set by most system calls that can fail so for example read or write set errno to tell you what went wrong so if you call right and it doesn't work	['thread', 'system', 'thread', 'system', 'thread', 'system', 'thread', 'system']
in practice of course bulletproof code robust production code would actually check the return values of all of your system calls and that is kind of really good system programming practice to kind of detect when errors go wrong and actually becomes critical when you start writing network code c in the next video bye	['code', 'system', 'code', 'system', 'code', 'system', 'code', 'system']
inefficient and quite timely it takes a long period of time if i want to scan through all of my files to see which ones have changed which ones have been created it would be great if my file system could actually tell me which files have been created or modified since the last backup so we need some features to support that how are we going to do that right i kind of want to mention that one fun thing about all these features is that they are not required of course with all applications but they also are difficult to implement together for example compression may or may not hurt performance deduplication requires ability to scan files and may take additional cpu time additional memory and so may actually actually affect negatively the performance of your whole system	['memory', 'system', 'memory', 'system']
inside here so we won't let anybody go until we've actually created or five threads and also kind of starting up so but this line of actually changing the fireworks to one here could still actually technically occur before this five threads of actually started all we've just simply say is to say ok create them and at some point in the future please run alright so lots of interesting interleavings details there and as you can see this stuff is tricky	['thread', 'thread', 'thread', 'thread', 'thread', 'thread']
is actually ok it was compiled with optical useful what we wanted is a variable here let's just call it line which is going to hold the address of the heap memory and rather than just passing into it that whatever value happened to be inside that variable we actually wanted to know the address of that variable so that's one mistake second mistake is that both these variables should be set to zero so we fix that so will store that	['heap memory', 'memory', 'the heap', 'address']
is doing something else so this thing runs for one second and then it's some random type there's one second ok some random sign inside that just for one day second it goes and visits a critical section may be updates or reads a particular data structure ok so now that's fine but now we have two threads so here's another fit that also is going to run for the same second	['type', 'a struct', 'section', 'thread', 'type', 'a struct', 'section', 'thread', 'type', 'a struct', 'section', 'thread']
is first some io event to complete right so some input output for example perhaps you've called open perhaps you've called read perhaps you've called write and we need to talk to an external device for in order to get the data or put the data sometimes these these calls can complete to immediately if we already have the data inside ram but at other times we have to wait for the data to physically arrive ok so once that data is ready there in that system call can return an example of this might be you have written a ui program complete with windows and menu drop downs and all that good stuff processing those window events is just another piece of kind of io now we're waiting for events to occur from user input and so fundamentally there is some kind of read call going on to find out what the user wants us to do and most of the time it cost the user isn't giving his events but occasionally the user going to type a key press the screen that kind of thing and then our culture we can return it and our code can continue ok what else might we finish waiting for think about something that we've seen and you used inside this course well ok how about our synchronization primitives so some synchronization event has happened that we allows us to continue so what do we got we've got things like mutex locks you are able to acquire the lock we've got counting semaphores somebody's returned that piece of pizza into the counting semaphore so now we get to pull it out and continue and of course we've seen condition variables so now say broadcasters occured and now my thread is made continue we've also got other things like barriers so for example finally all the feds have turned up so now i'm going to wait this thread and let it continue	['type', 'code', 'thread', 'system']
is one solution to the critical section but like i said it's not a generally useful solution to the critical section we need to find a way to be able to kind of implement these correctly and will talk about some algorithmic concerns about that in the future instead now is what i've got a real challenge for you which is i want to implement a barrier in fact i'm going to give you all the code that you need here it is i just want to implement a barrier that will wait until five threads call this method called this function and i've got to keep track of how many there we go and all i'm going to give you is the following code which uses a counting semaphore so you get to choose how what you would like to implement what you'd like to to initialize is counting semaphore with and all you have to do is rearrange these lines enter the correct order so that's my challenge to you pause this video and see if you can work it out i'll give you the solution next video but before you do that make some brain new brain cell connections and actually think about how you're going to rearrange this code so it actually works by	['the following', 'code', 'section', 'thread']
is one solution to the critical section but like i said it's not a generally useful solution to the critical section we need to find a way to be able to kind of implement these correctly and will talk about some algorithmic concerns about that in the future instead now is what i've got a real challenge for you which is i want to implement a barrier in fact i'm going to give you all the code that you need here it is i just want to implement a barrier that will wait until five threads call this method called this function and i've got to keep track of how many there we go and all i'm going to give you is the following code which uses a counting semaphore so you get to choose how what you would like to implement what you'd like to to initialize is counting semaphore with and all you have to do is rearrange these lines enter the correct order so that's my challenge to you pause this video and see if you can work it out i'll give you the solution next video but before you do that make some brain new brain cell connections and actually think about how you're going to rearrange this code to the actually works by	['the following', 'code', 'section', 'thread', 'the following', 'code', 'section', 'thread', 'the following', 'code', 'section', 'thread', 'the following', 'code', 'section', 'thread', 'the following', 'code', 'section', 'thread']
it just returns an error numbers returns a non zero value so the very first time that we running this code with twice left equal to two if we caught acquire that second log we just say we failed so what do we do if we failed we immediately unlock the left hand thread	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
it looks like no ones needed for the longest possible time or less choose a page of ram that actually we know we already have a copy of that on the disk for example perhaps it corresponds to some of the code of a program and we already have that program stored on the disk somewhere right so that's kind of demand paging and in the next video let's address the following little brain teaser let's suppose you actually did a benchmark on catalog versus malloc ann you were surprised to discover that these two calls take the same amount of time how could that possibly be because kellogg is defined to return memory that has been	['the following', 'a page', 'memory', 'code', 'address']
it would be an error just to return the actual pointer to our metadata 'cause then the code that is called us would overwrite our struct instead inside our struct we've got a pointer so let's use that let's return the value of pointers that will tell the caller exactly which piece of heap memory they can use so that's all of accounting that we're going to need for first part of malloc alright so let's go back to this line of code here and let's talk about what it's doing so we're saying let's look at the current size each time around this loop of this entry and see if it's less than	['heap memory', 'memory', 'code', 'pointer']
it's got a reference count of three but if i was to remove it so let's remove what i call it like another dot c o k that my reference count has gone down to two so we still need it so that's why we need reference counting just keep track of the number of entries that it appears so you might see how when we do forensic analysis on disks we can look for i knowed entries which have been deleted but which still don't appear inside anyways like my file system but we still might contain all of the meta information so for example it might be i did deleted i knowed entry can still point to the disk blocks that	['block', 'system', 'block', 'system']
it's not yet available another thread is currently quite that musics lock ok so when will we escape out of this and the answer is never ok we can read the code and see that eventually we're going to release these locks but we're never going to get to that that piece of code that thread one is waiting for thread two and thread two is waiting for thread one so it's kind of stuck for stuck forever	['code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread', 'code', 'thread']
it's outside our castle but unable to cross the moat because we have blocked it on all of our process or all of the threads so if you wish you can check for a signal to see if it's pending like literally calling sick pending and that will fill in one of these signal sets for you so now great you can actually see if there's a say a sigint that is hasn't been processed someone press control c awhile ago and maybe you want to print out a useful message so that's what this little program does here let's check the actual see which bits are set inside my signal set here so once i grab that i can say ok is the following signal a member of this so will take the address of my pending result an see if cig and has been set inside there and if it is we will print a friendly message back to the user to say hey thanks for pressing ctrl c but is no cookies for you today right so let's	['the following', 'block', 'thread', 'address']
join an i want to join on not the address of thread id but the actual value itself and i don't care about the exit value so don't write that anywhere ok alright so what's going to happen now first of all let me run it and then you can tell me why ok so let's clear this clear that's compiled let's run ok and this time i'm extremely confident we're going to see the same same output for the integers and they will be in order why am i so confident	['thread', 'address', 'thread', 'address', 'thread', 'address']
k so we turned my v where does become from i'm going to have something like double v equals so i go to my way now i want to pre decrement my value of n there we go alright so what about the blocking all right so we need something like look if my value of n is zero then go to sleep ok right so i'm going to have my p thread conditioned wait ok did you do today and here is my condition variable i'd like to sleep in and don't forget that mutex lock ok what is the mutex lock code look like are right so we've seen this before that's just	['block', 'code', 'thread', 'block', 'code', 'thread', 'block', 'code', 'thread', 'block', 'code', 'thread']
lego block proved there right so let's let's actually have a go at running this ok so do we have code right so we called it block and let's let's run this thing ok you'll notice that we only exit after we managed to join all three threats so will compile it stop the cake monster stop consuming cake	['block', 'code', 'block', 'code', 'block', 'code', 'block', 'code']
let's make sure that our all of our threads or processes always require resources in the same order so will have a meeting with all of our programmers and say look here's the things which you are saying a quiet calling peter mutex lock on abc and d we just need you to always acquire them in agreed apon order so for	['thread', 'resources', 'thread', 'resources']
let's open this in something which little bit more viewable ok make it larger ok let's let's instead right will use arc preprocessor trick so if hash of zero don't compile this ok and instead let's use pointer arithmetic our case so while let's go and see what argv is looking at and if it's gone zero or pointed out so printf there's printed out as a string and we want that value and just at the end of the loop let's take argv and we need to move it forward once they stop looking at the old memory location move to the next one ok right so let's looks good i want a new line ok compile this again	['the loop', 'memory', 'printf', 'string', 'pointer']
let's see all chill at the moment ok so we're going to get out of there were going to take this check this after you run through this code once i know notice it is frayed i apologize the logic as given incorrect let's have a look see what it does first of all philosopher waist to pick up the fork on the left ok so that's only going to proceed once you get exclusive access to that particular fork alright and then it's going to change this local variable failed to based on on what happens when it tries to pick up the the fork on the right so notice that initial value of tries left is too so actually it's going to call this function called trilok which we haven't seen before trilok never blocks instead rather than blocking if it's unable to acquire this mutex	['block', 'code', 'block', 'code', 'block', 'code', 'block', 'code']
let's see do malloc and then in the case of mark use store copy but instead let me show you another alternative which is let's let's deliberately set the very first bite of that heat memory to zero so in other words right how do i do that i need to dereference twice my variable to finally get to that very first character of my heap so let me set that to zero and i can do that by typing the integer zero or i can type the ascii nul byte right so this is the ascii nul byte which is not the same is writing know with two l's anytime you see 2 l tells you know you're actually talking about a pointer value ok so now we do that when we get down to strcat, strcat is immediately going to find that nul byte and say ah-ha that's where i should start from the last thing i notice is that returns a type of void pointer avoid pointer isn't is not scary it just means i want to point to some memory but i'm not going to tell you what is there i just actually really only care about the address the actual piece of memory that i want to read or write to later right now i'm not going to declare a type ok so let's return something there and will return say this is the piece of heap memory that may be allocated or the memory that you gave us that is there so the code is written assumes that if we are given	['heap memory', 'memory', 'type', 'code', 'address', 'pointer']
life would be fine if they did this carefully synchronized but instead you could imagine that are two threads go over and read the same value and then they add one at about the same time and then they write back their new values so instead of increasing the value by two we've only increased it by one you can imagine more extreme variations where one thread is running a bit slow perhaps my cpu keeps on being interrupted because it's being asked to transcode some videos as as i as i'm talking to you and so now the other thread is able to run forward a bit so imagine the following one thread reaches in grabs the number	['the following', 'code', 'thread', 'the following', 'code', 'thread']
like that is no longer a legal program because now we're returning a pointer to some array that's on the stack and that is not valid memory to use after we return so it might appear to work but there's no guarantee that that memory is going to remain good after we returned from two text motor two text message so next time i try to say ok let's try static here well ok so now what you've done you've just made a global variable again but this time it's yes it exists for the lifetime of the process but now the scope of it the ability to refer to this particular variable is now just limited to any code that you write inside this particular function right sort of static is said ok this is not going to live on the stack so if we do that it's still going to break we're still going to see dinosaurs winning money so i'll just prove that so after two seconds oh we see that we are corrupting our message so yes both threads now using the same piece of memory ok so none of those work	['memory', 'code', 'thread', 'pointer']
loop excuse me will be when there's no one left actually using the data structure for either reading all writing ok otherwise my new thread goes into this p threat condition wait ok so knew writers yes they're going to get priority as students we have arrived on the scene the reed has to wait but only only one of them is going to be able to continue to see why remember that each time a thread is working up outside condition wait remember is holding the mutex locks only one thread is running and so the very first writer that that has evaluation of false here gets to continue so what do they do they update writing from zero to one so now when they unlock and then proceed to change the data structure if another writer evaluates this condition so imagine we work them up in three p three condition wait or they've just arrived they will see an expression here that is true and so they will go into p three condition wait so that we can be sure that this condition must be false in order for us to continue ok so eventually that right oh will finish changing the data structure and then we get down here again so we wait to acquire the mutex lock hopefully as a very just a few nanoseconds maybe a microsecond and then we can say great we're out of here right so let's decrement the number of threads writing let's talk about the number of writers and then exit but before we exit maybe it's time to wake some people up ok so the most loud code would be to call peter condition broadcast on both the both condition variables so notice i've got a condition variable here for writers so we're going to send all the writers to some coffee shop and	['the data structure', 'a struct', 'code', 'a thread', 'thread']
