Line	Processed_line
In addition to meeting listing requirements, exchanges require firms to pay an initial fee at the time their securities are first listed, and an annual listing fee to remain listed on the exchange.	in addition to meeting listing requirements , exchanges require firms to pay an initial fee at the time their securities are first listed , and an annual listing fee to remain listed on the exchange .
The New York Stock Exchange, owned by Intercontinental Exchange (which runs 12 exchanges across North America,	the new york stock exchange , owned by intercontinental exchange ( which runs 12 exchanges across north america ,
Europe, and Asia), trades stock (or securities) stock in 2,800 companies exchange An organized venue worth $26.5 trillion dolfor trading stocks and other lars, or three times larger securities that meet its listing than the next biggest exrequirements. change.27 NASDAQ, the	europe , and asia ) , trades stock ( or securities ) stock in 2,800 companies exchange an organized venue worth $ 26.5 trillion dolfor trading stocks and other lars , or three times larger securities that meet its listing than the next biggest exrequirements . change.27 nasdaq , the
Source: “Snap Inc. Form S-1 Registration Statement,” US Securities and Exchange Commission, February 2,	source : “ snap inc. form s-1 registration statement , ” us securities and exchange commission , february 2 ,
2017, https://www.sec.gov/Archives/edgar/data/1564408/000119312517029199/d270216ds1.htm, accessed February 9, 2017.	2017 , https://www.sec.gov/archives/edgar/data/1564408/000119312517029199/d270216ds1.htm , accessed february 9 , 2017 .
OMX, which runs exchanges in the United States and seven in Europe. NASDAQ began 45 years ago as the National Association of Securities Dealers, or	omx , which runs exchanges in the united states and seven in europe . nasdaq began 45 years ago as the national association of securities dealers , or
NASD. Today, NASDAQ trades stock in 3,800 companies located in 35 countries, for a combined worth of	nasd . today , nasdaq trades stock in 3,800 companies located in 35 countries , for a combined worth of
Trading on early stock exchanges occurred at physical locations where brokers met on trading floors to buy and sell securities for their clients. Some exchanges still maintain actual trading floors, but most trading on today's exchanges is done electronically. The participants in these markets carry out their trades mainly via computer networks.	trading on early stock exchanges occurred at physical locations where brokers met on trading floors to buy and sell securities for their clients . some exchanges still maintain actual trading floors , but most trading on today 's exchanges is done electronically . the participants in these markets carry out their trades mainly via computer networks .
The trend toward electronic trading began in 1971 with the establishment of NASDAQ, which initially was just a system used to report stock prices electronically. But over the years, it evolved into a complete market with formal listing requirements and fees. The stocks of many of today's high-profile technology companies, such as Apple,	the trend toward electronic trading began in 1971 with the establishment of nasdaq , which initially was just a system used to report stock prices electronically . but over the years , it evolved into a complete market with formal listing requirements and fees . the stocks of many of today 's high - profile technology companies , such as apple ,
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
The key players in the NASDAQ market are known as market makers. These are securities dealers that make a commitment to continuously offer to buy and sell (make a market in) specific NASDAQ-listed stocks.	the key players in the nasdaq market are known as market makers . these are securities dealers that make a commitment to continuously offer to buy and sell ( make a market in ) specific nasdaq - listed stocks .
Each NASDAQ stock has several market makers who compete against each other by posting two prices for each stock: the bid price indicates how much the market maker will pay per share to buy a stated quantity of the stock, while the ask price indicates the price per share at which it will sell the same stock. The ask price is higher than the bid price; the difference is called the bid/ask spread (or just the spread) and is the source of the market maker's profit.	each nasdaq stock has several market makers who compete against each other by posting two prices for each stock : the bid price indicates how much the market maker will pay per share to buy a stated quantity of the stock , while the ask price indicates the price per share at which it will sell the same stock . the ask price is higher than the bid price ; the difference is called the bid / ask spread ( or just the spread ) and is the source of the market maker 's profit .
The Over-the-Counter Market Many corporations with publicly traded stock don't meet the requirements to have their shares listed on an organized exchange; others choose not to list on exchanges because they don't want to pay the listing fees. The overthe-counter market (OTC) is where the stocks of such companies are traded. OTC stocks are traded through a system of market makers much like stocks are traded on the NASDAQ exchange. However, the market for most OTC stocks is much less active than for stocks listed on the major exchanges. Because of this, most stocks listed on the OTC have only a few market makers.	the over - the - counter market many corporations with publicly traded stock do n't meet the requirements to have their shares listed on an organized exchange ; others choose not to list on exchanges because they do n't want to pay the listing fees . the overthe - counter market ( otc ) is where the stocks of such companies are traded . otc stocks are traded through a system of market makers much like stocks are traded on the nasdaq exchange . however , the market for most otc stocks is much less active than for stocks listed on the major exchanges . because of this , most stocks listed on the otc have only a few market makers .
The lack of competition often leads to much higher spreads between bid and ask prices for stocks traded in the OTC than normally exist for stocks traded on the	the lack of competition often leads to much higher spreads between bid and ask prices for stocks traded in the otc than normally exist for stocks traded on the
Electronic Communications Networks The newest development in stock market technology involves the rise of electronic communications networks	electronic communications networks the newest development in stock market technology involves the rise of electronic communications networks
(ECNs). The SEC classifies ECNs as alternative trading systems because they represent an alternative to established stock exchanges as a venue for buying and selling securities. ECNs are entirely automated and computerized trading systems that allow traders to bypass the market makers used in the NASDAQ and OTC markets.	( ecns ) . the sec classifies ecns as alternative trading systems because they represent an alternative to established stock exchanges as a venue for buying and selling securities . ecns are entirely automated and computerized trading systems that allow traders to bypass the market makers used in the nasdaq and otc markets .
However, individuals can only take advantage of this venue by opening an account with a broker-dealer that subscribes to an ECN.	however , individuals can only take advantage of this venue by opening an account with a broker - dealer that subscribes to an ecn .
If you place an order to buy a security on an ECN, the computer system checks to see if there is a matching order from another trader to sell the same security. If so, it immediately and automatically executes the transaction in a process that typically takes less than a second to complete.	if you place an order to buy a security on an ecn , the computer system checks to see if there is a matching order from another trader to sell the same security . if so , it immediately and automatically executes the transaction in a process that typically takes less than a second to complete .
ECNs obviously speed up transactions. They also make it possible for investors to trade securities “after hours” when the U.S. exchanges are closed.	ecns obviously speed up transactions . they also make it possible for investors to trade securities “ after hours ” when the u.s. exchanges are closed .
Would investing in stocks, bonds, and other securities make sense for you? If so, how could you get started? What are the potential risks and rewards of various investment strategies?	would investing in stocks , bonds , and other securities make sense for you ? if so , how could you get started ? what are the potential risks and rewards of various investment strategies ?
Investing in securities requires you to think carefully about your specific situation, your personal goals, and your attitudes:	investing in securities requires you to think carefully about your specific situation , your personal goals , and your attitudes :
Notice that the last question deals with your attitudes toward risk. Most people are not comfortable with high levels of risk. But no investment strategy completely avoids risk. And in general, the riskier the approach, the greater the potential rewards. To achieve your goals, you'll need to find the balance between risk and return that works for you.	notice that the last question deals with your attitudes toward risk . most people are not comfortable with high levels of risk . but no investment strategy completely avoids risk . and in general , the riskier the approach , the greater the potential rewards . to achieve your goals , you 'll need to find the balance between risk and return that works for you .
Members of the general public cannot directly trade stocks and other securities on the exchanges, the over-the-counter market, or the ECNs we described earlier in the chapter.	members of the general public can not directly trade stocks and other securities on the exchanges , the over - the - counter market , or the ecns we described earlier in the chapter .
Thus, most investors enlist the services of a brokerage firm to carry out their trades. Choosing the right broker is the first step in implementing your investment plans.	thus , most investors enlist the services of a brokerage firm to carry out their trades . choosing the right broker is the first step in implementing your investment plans .
A full-service broker provides a wide range of services—such as market market makers Securities research, investment advice, dealers that make a commitment to continuously offer to buy and sell the and tax ­ planning—in adstock of a specific corporation listed dition to carrying out your on the NASDAQ exchange or traded trades. Discount brokers in the OTC market. provide the basic services over-the-counter (OTC) needed to buy and sell semarket The market where curities but offer fewer addisecurities that are not listed on tional services. They may also exchanges are traded. restrict your ability to trade electronic communications certain types of securities. network (ECN) An automated, computerized securities trading	a full - service broker provides a wide range of services — such as market market makers securities research , investment advice , dealers that make a commitment to continuously offer to buy and sell the and tax ­ planning — in adstock of a specific corporation listed dition to carrying out your on the nasdaq exchange or traded trades . discount brokers in the otc market . provide the basic services over - the - counter ( otc ) needed to buy and sell semarket the market where curities but offer fewer addisecurities that are not listed on tional services . they may also exchanges are traded . restrict your ability to trade electronic communications certain types of securities . network ( ecn ) an automated , computerized securities trading
For example, some discount system that automatically matches brokers don't offer the ability buyers and sellers, executing trades to buy and sell foreign secuquickly and allowing trading when rities. Discount brokers tend securities exchanges are closed. to charge significantly lower	for example , some discount system that automatically matches brokers do n't offer the ability buyers and sellers , executing trades to buy and sell foreign secuquickly and allowing trading when rities . discount brokers tend securities exchanges are closed . to charge significantly lower
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
Rock musician David Bowie's work spanned six decades— from his debut album David Bowie in 1967 to his 28th album, Blackstar, released days before his death on January	rock musician david bowie 's work spanned six decades — from his debut album david bowie in 1967 to his 28th album , blackstar , released days before his death on january
Americans, and “China Girl” and “Let's Dance” from the 1983 album Let's Dance. Bowie had less success as an actor but appeared in several films such as The Man Who Fell to Earth	americans , and “ china girl ” and “ let 's dance ” from the 1983 album let 's dance . bowie had less success as an actor but appeared in several films such as the man who fell to earth
(2001). He's also known for assuming various musical personalities while performing, such as the Thin White Duke, Ziggy	( 2001 ) . he 's also known for assuming various musical personalities while performing , such as the thin white duke , ziggy
While you may be familiar with Bowie's artistic work, you may not know that he was also a financial innovator in the music industry. Reluctant to sell the rights to his music (a costly mistake the Beatles made), Bowie enlisted investment banker David Pullman to develop a better system. Pullman suggested that the future stream of earnings (that is, sales	while you may be familiar with bowie 's artistic work , you may not know that he was also a financial innovator in the music industry . reluctant to sell the rights to his music ( a costly mistake the beatles made ) , bowie enlisted investment banker david pullman to develop a better system . pullman suggested that the future stream of earnings ( that is , sales
commissions than full-service brokers. In fact, many discount brokers charge flat fees of only a few dollars per trade for basic transactions. But brokerage firms also charge a variety of fees—sometimes including “inactivity fees” if you don't place enough orders! Once these fees are considered, brokerage firms that offer low commissions may not be as inexpensive as they first appear! To stop clients from defecting to discount brokers, many full-service firms have lowered commissions.	commissions than full - service brokers . in fact , many discount brokers charge flat fees of only a few dollars per trade for basic transactions . but brokerage firms also charge a variety of fees — sometimes including “ inactivity fees ” if you do n't place enough orders ! once these fees are considered , brokerage firms that offer low commissions may not be as inexpensive as they first appear ! to stop clients from defecting to discount brokers , many full - service firms have lowered commissions .
At the same time, many discount brokers have begun offering a broader range of services. The result is that many brokerage firms offer investors the choice of either discount or full-service accounts.	at the same time , many discount brokers have begun offering a broader range of services . the result is that many brokerage firms offer investors the choice of either discount or full - service accounts .
With technology driving many of these changes, the financial planning industry now uses robo advisors to help people automatically set, track, stick to (that's the hard part), and eventually achieve their financial goals. Wealthfront and Betterment, two of the largest robo advisor services, use computer algorithms to automatically invest clients' wealth in a way that maximizes returns and minimizes taxes. Based on criteria set by the user, these services automatically deposit bank funds into retirement accounts each month; retrieve and market order An order then invest extra cash that telling a broker to buy or sell would otherwise not earn a specific security at the best a return; and rebalance currently available price. stock portfolios by selling	with technology driving many of these changes , the financial planning industry now uses robo advisors to help people automatically set , track , stick to ( that 's the hard part ) , and eventually achieve their financial goals . wealthfront and betterment , two of the largest robo advisor services , use computer algorithms to automatically invest clients ' wealth in a way that maximizes returns and minimizes taxes . based on criteria set by the user , these services automatically deposit bank funds into retirement accounts each month ; retrieve and market order an order then invest extra cash that telling a broker to buy or sell would otherwise not earn a specific security at the best a return ; and rebalance currently available price . stock portfolios by selling
and royalties) from Bowie's first 25 albums be used to securitize (that is, pay the interest and principle of ) 10-year	and royalties ) from bowie 's first 25 albums be used to securitize ( that is , pay the interest and principle of ) 10 - year
Bowie Bonds. When issued in 1997, these bonds paid 7.9% interest. Bowie earned $55 million from the bond sale, and after 10 years, the full ownership rights to his music (as well as their subsequent earnings) reverted to him. While his music is timeless, the emergence of online music sharing services hurt music sales overall. Bowie Bonds were downgraded to junk status and then liquidated in 2007.29	bowie bonds . when issued in 1997 , these bonds paid 7.9 % interest . bowie earned $ 55 million from the bond sale , and after 10 years , the full ownership rights to his music ( as well as their subsequent earnings ) reverted to him . while his music is timeless , the emergence of online music sharing services hurt music sales overall . bowie bonds were downgraded to junk status and then liquidated in 2007.29
fast-moving stocks (capturing the gains) and investing in underweighted (and perhaps cheaper) stocks.	fast - moving stocks ( capturing the gains ) and investing in underweighted ( and perhaps cheaper ) stocks .
Not only do robo advisors do all this automatically and based on individualized financial goals, they do so with lower annual fees than traditional advisors. Robo advisors typically charge 0.25% to 0.50% of assets, compared to 1% to 2% among human advisors.30	not only do robo advisors do all this automatically and based on individualized financial goals , they do so with lower annual fees than traditional advisors . robo advisors typically charge 0.25 % to 0.50 % of assets , compared to 1 % to 2 % among human advisors.30
Once you've decided on a broker, you need to open an account. This is a fairly simple process; it requires filling out some forms (usually available online) and making an initial investment. The minimum initial investment varies, but $1,000 to $3,000 is fairly typical.	once you 've decided on a broker , you need to open an account . this is a fairly simple process ; it requires filling out some forms ( usually available online ) and making an initial investment . the minimum initial investment varies , but $ 1,000 to $ 3,000 is fairly typical .
Once you've set up your account, you can trade securities by contacting your broker and indicating the security you want to trade and the quantity you want to buy or sell. You can also specify the type of order you want to place. The most common types of orders are market orders and limit orders:	once you 've set up your account , you can trade securities by contacting your broker and indicating the security you want to trade and the quantity you want to buy or sell . you can also specify the type of order you want to place . the most common types of orders are market orders and limit orders :
Market orders instruct the broker to buy or sell a security at the current market price. Placing a market order virtually guarantees that your order will be	market orders instruct the broker to buy or sell a security at the current market price . placing a market order virtually guarantees that your order will be
­executed. The downside is that you may end up buying at a higher price than you expected to pay (or selling your stock for less than you expected to receive).	­executed . the downside is that you may end up buying at a higher price than you expected to pay ( or selling your stock for less than you expected to receive ) .
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
If you've traveled abroad, you know that swings in currency exchange rates can make your trip significantly more or less expensive. In January 2012, a euro	if you 've traveled abroad , you know that swings in currency exchange rates can make your trip significantly more or less expensive . in january 2012 , a euro
(€) was worth $1.27. But in January 2017, it was worth just $1.06. So if a Paris hotel charged €225 a night, the cost in	( € ) was worth $ 1.27 . but in january 2017 , it was worth just $ 1.06 . so if a paris hotel charged € 225 a night , the cost in
U.S. dollars was $286 in 2012 and $239 (16% less) in 2017. Such significant currency changes affect product prices and firm profitability.	u.s. dollars was $ 286 in 2012 and $ 239 ( 16 % less ) in 2017 . such significant currency changes affect product prices and firm profitability .
Since the citizens of the United Kingdom (U.K.) voted to leave the European Union (via Brexit, or British exit) on June 23,	since the citizens of the united kingdom ( u.k. ) voted to leave the european union ( via brexit , or british exit ) on june 23 ,
2016, the British pound (£) has fallen 18.4% relative to the U.S. dollar, from $1.48 to $1.25. That's great if you're an American vacationing in London. But it's bad for American firms selling imported goods. These firms will see their U.K. revenue drop by	2016 , the british pound ( £ ) has fallen 18.4 % relative to the u.s. dollar , from $ 1.48 to $ 1.25 . that 's great if you 're an american vacationing in london . but it 's bad for american firms selling imported goods . these firms will see their u.k. revenue drop by
Kingdom, Apple raised U.K. prices to cover the entire currency fluctuation. In most cases, that resulted in a 25% increase (18% to 20% higher because of currency fluctuations, followed by an additional 20% for the U.K.'s value added tax).	kingdom , apple raised u.k. prices to cover the entire currency fluctuation . in most cases , that resulted in a 25 % increase ( 18 % to 20 % higher because of currency fluctuations , followed by an additional 20 % for the u.k. 's value added tax ) .
P&G, which imports household goods like Tide, Gillette shaving products, and Pampers diapers, competes in the	p&g , which imports household goods like tide , gillette shaving products , and pampers diapers , competes in the
United Kingdom against British and European firms. So, with less pricing power, it responded with a smaller 10% price increase.31	united kingdom against british and european firms . so , with less pricing power , it responded with a smaller 10 % price increase.31
In the short run, this leaves two bad options. First, raise prices aggressively to cover the entire currency fluctuation and watch sales drop as customers simply buy fewer of your products or buy cheaper products from a competitor instead.	in the short run , this leaves two bad options . first , raise prices aggressively to cover the entire currency fluctuation and watch sales drop as customers simply buy fewer of your products or buy cheaper products from a competitor instead .
Second, raise prices modestly and take a direct hit to U.K. revenues. Either way, revenues and profits will likely drop— especially since the currency and prices changed so dramatically in so little time.	second , raise prices modestly and take a direct hit to u.k. revenues . either way , revenues and profits will likely drop — especially since the currency and prices changed so dramatically in so little time .
“I will tell you how to executed. A buy limit order guaranteed to earn you millions. become rich. Close the tells a broker to buy a stock	“ i will tell you how to executed . a buy limit order guaranteed to earn you millions . become rich . close the tells a broker to buy a stock
Investing for Income Some indoors. Be fearful when only if its price is at or below vestors focus on buying bonds and a ­specified value. You'd use others are greedy. Be preferred stocks to generate a steady, this approach if you wanted to greedy when others predictable flow of income. This apmake sure you didn't pay more proach is popular with retirees who are fearful.” for the stock than you thought want to supplement their retirement it was worth. A sell limit order	investing for income some indoors . be fearful when only if its price is at or below vestors focus on buying bonds and a ­specified value . you 'd use others are greedy . be preferred stocks to generate a steady , this approach if you wanted to greedy when others predictable flow of income . this apmake sure you did n't pay more proach is popular with retirees who are fearful . ” for the stock than you thought want to supplement their retirement it was worth . a sell limit order
— WA R R E N B U F F E T T income. But the return on such lowtells your broker to sell the risk securities is relatively low, and shares only if the price is at or their market value seldom increases much over time. Thus, above a specified value. This prevents your broker from it probably isn't the best selling your stock at a price you believe is too low. strategy for younger inveslimit order An order to a tors who are trying to grow	— wa r r e n b u f f e t t income . but the return on such lowtells your broker to sell the risk securities is relatively low , and shares only if the price is at or their market value seldom increases much over time . thus , above a specified value . this prevents your broker from it probably is n't the best selling your stock at a price you believe is too low . strategy for younger inveslimit order an order to a tors who are trying to grow
10-5c Strategies for Investing in Securities broker to buy a specific stock only their wealth. if its price is below a certain level,	10 - 5c strategies for investing in securities broker to buy a specific stock only their wealth . if its price is below a certain level ,
There are several strategies you can use to guide your or to sell a specific stock only if its investment decisions. We'll provide an overview of	there are several strategies you can use to guide your or to sell a specific stock only if its investment decisions . we 'll provide an overview of
Market Timing Invesprice is above a certain level. the more common approaches, but none of these tors who rely on market	market timing invesprice is above a certain level . the more common approaches , but none of these tors who rely on market
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
Investors who focus on growth look for companies that have the potential to grow much faster than average for a sustained time, which they believe will lead to a steady (and sometimes spectacular) rise in the stock's price. Investors using this strategy often invest in stocks of relatively new companies with innovative	investors who focus on growth look for companies that have the potential to grow much faster than average for a sustained time , which they believe will lead to a steady ( and sometimes spectacular ) rise in the stock 's price . investors using this strategy often invest in stocks of relatively new companies with innovative
Investing for growth entails significant risk. Small new companies lack established track records. And	investing for growth entails significant risk . small new companies lack established track records . and
Stockbrokers place orders to buy and sell stocks and other rapidly expanding industries securities for their clients. tend to attract many start-up companies, so competition can be intense. Finally, given the rapid pace of technological change, today's hot prostiming use a variety of analytical techniques to try to pects may soon be dethroned by the next big thing. It's hard predict when prices of specific stocks are likely to rise to predict which firms will be winners; even experts often and fall. Market timers try to make quick gains by make the wrong choice. buying low and selling high over a relatively short time horizon.	stockbrokers place orders to buy and sell stocks and other rapidly expanding industries securities for their clients . tend to attract many start - up companies , so competition can be intense . finally , given the rapid pace of technological change , today 's hot prostiming use a variety of analytical techniques to try to pects may soon be dethroned by the next big thing . it 's hard predict when prices of specific stocks are likely to rise to predict which firms will be winners ; even experts often and fall . market timers try to make quick gains by make the wrong choice . buying low and selling high over a relatively short time horizon .
The problem with market timing is that so many facwith steady nerves, a buy-and-hold approach might tors can influence stock prices—some of them random appeal to you. This strategy involves purchasing a diin nature—that it's tough to consistently identify the versified set of securities and holding them for a long timing and direction of changes in stock prices. Market period of time. Buy-and-hold investors put their faith in timing also requires investors to make frequent trades. the ability of the overall market to continue the long-run	the problem with market timing is that so many facwith steady nerves , a buy - and - hold approach might tors can influence stock prices — some of them random appeal to you . this strategy involves purchasing a diin nature — that it 's tough to consistently identify the versified set of securities and holding them for a long timing and direction of changes in stock prices . market period of time . buy - and - hold investors put their faith in timing also requires investors to make frequent trades . the ability of the overall market to continue the long - run
Given the commissions paid on trades and the taxes inupward trend it has exhibited throughout its history. curred on short-term capital gains, this approach may	given the commissions paid on trades and the taxes inupward trend it has exhibited throughout its history . curred on short - term capital gains , this approach may
One way that many buy-and-hold investors do this is by do a better job of enriching the broker than enriching investing in index mutual funds and ETFs. The buy-andthe trader! hold strategy seldom allows investors to “get rich quick,” but it usually results in a solid financial return over the	one way that many buy - and - hold investors do this is by do a better job of enriching the broker than enriching investing in index mutual funds and etfs . the buy - andthe trader ! hold strategy seldom allows investors to “ get rich quick , ” but it usually results in a solid financial return over the
Value Investing Investors who favor value investing long haul. try to find stocks that are undervalued in the market. They	value investing investors who favor value investing long haul . try to find stocks that are undervalued in the market . they
Obviously, the buy-and-hold strategy will work believe that the market price will rise over time to reflect only if you can afford to leave your money invested for its true value, thus generating a capital gain. This approach a long time. When the stock market takes a dive, it can requires intensive research to identify discrepancies besometimes take years for stocks to recover and start tween a company's true (or intrinsic) value and its current to show solid returns. Some people who think they're market price. comfortable with a buy-and-hold strategy end up getThe drawback with value investing is that thouting “happy feet” after a few weeks of declining stock sands of investors are all trying to do the same thing, so prices. They panic and sell off their stocks at exactly the the competition to locate undervalued stocks is intense. wrong time, locking in big losses. For the buy-and-hold	obviously , the buy - and - hold strategy will work believe that the market price will rise over time to reflect only if you can afford to leave your money invested for its true value , thus generating a capital gain . this approach a long time . when the stock market takes a dive , it can requires intensive research to identify discrepancies besometimes take years for stocks to recover and start tween a company 's true ( or intrinsic ) value and its current to show solid returns . some people who think they 're market price . comfortable with a buy - and - hold strategy end up getthe drawback with value investing is that thouting “ happy feet ” after a few weeks of declining stock sands of investors are all trying to do the same thing , so prices . they panic and sell off their stocks at exactly the the competition to locate undervalued stocks is intense . wrong time , locking in big losses . for the buy - and - hold
Unless you're among the first to discover a good value, strategy to work, you've got to have the patience—and the investors who beat you to it will rush to buy up the mental toughness—to ride out short-term downturns stock, increasing demand and driving up the stock's in the market. Michael Pagano, professor of finance at price so that it is no longer undervalued.	unless you 're among the first to discover a good value , strategy to work , you 've got to have the patience — and the investors who beat you to it will rush to buy up the mental toughness — to ride out short - term downturns stock , increasing demand and driving up the stock 's in the market . michael pagano , professor of finance at price so that it is no longer undervalued .
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
Villanova University, explains why: “For a diversified equity portfolio of U.S. stocks, 10 to 15 years is long enough to overcome any bad timing in terms of entry points.	villanova university , explains why : “ for a diversified equity portfolio of u.s. stocks , 10 to 15 years is long enough to overcome any bad timing in terms of entry points .
Any shorter than that and you run the risk that you buy at a peak and then have to sell out at a trough.”32	any shorter than that and you run the risk that you buy at a peak and then have to sell out at a trough . ”32
One of the most common ways to track general market conditions and trends is to follow what's happening to various stock indices. A stock index tracks the prices of a large group of stocks that meet certain defined criteria.	one of the most common ways to track general market conditions and trends is to follow what 's happening to various stock indices . a stock index tracks the prices of a large group of stocks that meet certain defined criteria .
Many investors like to compare how the stocks in their own portfolio compare to the performance of these broad indices. Two of the best-known indices are the Dow Jones	many investors like to compare how the stocks in their own portfolio compare to the performance of these broad indices . two of the best - known indices are the dow jones
Stock prices of all U.S. corporations with actively traded stock. Despite the 5,000 in its name, this index actually includes well over	stock prices of all u.s. corporations with actively traded stock . despite the 5,000 in its name , this index actually includes well over
Once you've begun to invest in securities, you'll want to keep track of how your investments are doing. Using the Internet, you can easily find information about both general market trends and the performance of specific securities.	once you 've begun to invest in securities , you 'll want to keep track of how your investments are doing . using the internet , you can easily find information about both general market trends and the performance of specific securities .
Often called just “the Dow,” this is the most widely followed stock index. The Dow is based on the adjusted average price of 30 stocks picked by the editors of The Wall Street Journal. All of the Dow firms are large, well-established corporations, such as Apple, General Electric, Coca-Cola, McDonald's,	often called just “ the dow , ” this is the most widely followed stock index . the dow is based on the adjusted average price of 30 stocks picked by the editors of the wall street journal . all of the dow firms are large , well - established corporations , such as apple , general electric , coca - cola , mcdonald 's ,
The Standard & Poor's 500: With 500 stocks instead of just 30, the S&P 500 is a much broader index than the DJIA. Still, like the Dow, the companies	the standard & poor 's 500 : with 500 stocks instead of just 30 , the s&p 500 is a much broader index than the djia . still , like the dow , the companies
combination of letters that uniquely identifies a corporate security—into a “Get Quote” box. (Most sites have a lookup feature that finds the symbol if you type in the company's name.)	combination of letters that uniquely identifies a corporate security — into a “ get quote ” box . ( most sites have a lookup feature that finds the symbol if you type in the company 's name . )
Exhibit 10.5 illustrates the information a popular finan­cial website, Yahoo! Finance (http://finance.yahoo	exhibit 10.5 illustrates the information a popular finan­cial website , yahoo ! finance ( http://finance.yahoo
Change: The last trade of McDonald's stock was $0.04 lower than the closing price for the stock on the	change : the last trade of mcdonald 's stock was $ 0.04 lower than the closing price for the stock on the
Exhibit 10.4 identifies several other well-known indices, including some that track prices of stocks in foreign securities markets.	exhibit 10.4 identifies several other well - known indices , including some that track prices of stocks in foreign securities markets .
Many financial websites offer detailed stock quotes that provide the current price of a company's stock and a wealth of related information. To check out a specific stock, you simply type its stock symbol—a short	many financial websites offer detailed stock quotes that provide the current price of a company 's stock and a wealth of related information . to check out a specific stock , you simply type its stock symbol — a short
