0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-04 14:31:40.390557	2	00:00:00.29	00:00:04.52	This lecture is about the Word Association mining and analysis.	this lecture be about the Word Association mining and analysis .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133696	43	00:01:31.01	00:01:50.75	The consequences that this would enable us to discover contextualized topics make the topics more interesting, more meaningful, because we can then have topics that can be interpreted as specific to a particular context that we're interested in. For example, a particular time period.	the consequence that this would enable we to discover contextualized topic make the topic more interesting , more meaningful , because we can then have topic that can be interpret as specific to a particular context that we be interested in . for example , a particular time period .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133697	47	00:01:51.91	00:02:05.85	As extension of PLSA model, CPLSA mainly does the following changes. Firstly it would model the conditional likelihood of text given context.	as extension of PLSA model , CPLSA mainly do the follow change . firstly it would model the conditional likelihood of text give context .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133698	51	00:02:06.73	00:02:16.77	That clearly suggests that the generation of text would then depend on context, and that allows us to bring context into the generative model.	that clearly suggest that the generation of text would then depend on context , and that allow we to bring context into the generative model .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133701	66	00:02:18.12	00:02:53.22	Secondly, it makes 2 specific assumptions about the dependency of topics on context. One is to assume that depending on the context depending on different time periods or different locations, we assume that there are different views of the topic or different versions of word distributions that characterize a topic, and this assumption allows us to discover different variations of the same topic in different context. The other is that we assume. The topic coverage also depends on the context.	secondly , it make 2 specific assumption about the dependency of topic on context . one be to assume that depend on the context depend on different time period or different location , we assume that there be different view of the topic or different version of word distribution that characterize a topic , and this assumption allow we to discover different variation of the same topic in different context . the other be that we assume . the topic coverage also depend on the context .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:25:10.316031	73	00:02:54.24	00:03:07.78	And that means depending on the time or location, we might cover topics differently. And then again this dependency would then allow us to capture the association of topics with specific context.	and that mean depend on the time or location , we might cover topic differently . and then again this dependency would then allow we to capture the association of topic with specific context .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133704	76	00:03:09.38	00:03:14.76	We can still use the EM algorithm to solve the problem of parameter estimation.	we can still use the EM algorithm to solve the problem of parameter estimation .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133706	81	00:03:15.44	00:03:28.45	And in this case, the estimate premise would naturally contain context variables, and in particular a lot of conditional probabilities of topics given certain context.	and in this case , the estimate premise would naturally contain context variable , and in particular a lot of conditional probability of topic give certain context .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133706	83	00:03:29.83	00:03:32.44	And this would allow us to do contextual text mining.	and this would allow we to do contextual text mining .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133706	84	00:03:33	00:03:34.69	So this is the basic idea.	so this be the basic idea .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133709	93	00:03:35.64	00:04:00.49	Now we don't have time to introduce this model in detail, but there are references here that you can look into to know more detail here. I just want to explain the high level ideas in more detail, particularly willing to explain the generation process of text data that has context associated in such a model.	now we do n't have time to introduce this model in detail , but there be reference here that you can look into to know more detail here . I just want to explain the high level idea in more detail , particularly willing to explain the generation process of text datum that have context associate in such a model .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:26:37.670317	101	00:04:01.23	00:04:20.779999	So as you see here, we can assume there are still multiple topics. For example, some topics might represent the themes like a government response donation or the city of New Orleans. Now this example is in the context of Hurricane Katrina and that hit New Orleans.	so as you see here , we can assume there be still multiple topic . for example , some topic might represent the theme like a government response donation or the city of New Orleans . now this example be in the context of Hurricane Katrina and that hit New Orleans .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133712	104	00:04:22.97	00:04:31.6	Now, as you can see, we assume there are different views associated with the each of the topics.	now , as you can see , we assume there be different view associate with the each of the topic .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133712	108	00:04:32.3	00:04:40.69	And these are shown as view one, view tow and view three view three Each view is a different version of word distributions.	and these be show as view one , view tow and view three view three each view be a different version of word distribution .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133714	113	00:04:41.37	00:04:54.55	And these views are tide to some context variables. For example, type to the location Texas or the time July 2005 or the occupation of the other being sociologist.	and these view be tide to some context variable . for example , type to the location Texas or the time July 2005 or the occupation of the other be sociologist .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133715	121	00:04:55.95	00:05:13.37	Now on the right side you see we assume the document has contact information, so the time is known to be July 2005, location is Texes, etc. Now such context information is what we hope to model as well. So we're not going to just model the text.	now on the right side you see we assume the document have contact information , so the time be know to be July 2005 , location be Texes , etc . now such context information be what we hope to model as well . so we be not go to just model the text .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133716	126	00:05:15	00:05:26.08	And so one idea here is to model the variations of topic content in different context and this gives us different views of the world distributions.	and so one idea here be to model the variation of topic content in different context and this give we different view of the world distribution .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133717	129	00:05:27.6	00:05:33.92	Now on the bottom you will see the theme coverage or topic coverage might also vary according to these context.	now on the bottom you will see the theme coverage or topic coverage might also vary accord to these context .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133718	130	00:05:34.87	00:05:36.68	Because in the.	because in the .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:30:46.745045	138	00:05:38.38	00:06:01.35	In the case of location like Texas, people might want to cover the red topics more at the new audience, as visualized here. But in a certain time period, maybe particular topic like donation will be covered more so this variation is also considered in CPLSA.	in the case of location like Texas , people might want to cover the red topic more at the new audience , as visualize here . but in a certain time period , maybe particular topic like donation will be cover more so this variation be also consider in CPLSA .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.13372	140	00:06:02.11	00:06:07.94	So to generate such a document with context, we first also choose a view.	so to generate such a document with context , we first also choose a view .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.13372	144	00:06:08.59	00:06:17.62	And this view of course now could be from any of these contexts. Let's say we have taken this view. That depends on the time in the middle.	and this view of course now could be from any of these context . let 's say we have take this view . that depend on the time in the middle .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133721	148	00:06:18.2	00:06:25.21	So now we have a specific version of word distributions. Now you can see some probabilities of words for each topic.	so now we have a specific version of word distribution . now you can see some probability of word for each topic .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133723	154	00:06:26.57	00:06:38.99	Now, once we have chosen a view, now the situation will be very similar to what happened in standard PLSA. We assume we have got a word distribution associated with each topic, right?	now , once we have choose a view , now the situation will be very similar to what happen in standard PLSA . we assume we have get a word distribution associate with each topic , right ?
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133724	162	00:06:39.75	00:06:57.64	And then next to we choose a coverage from the bottom. So we're going to choose particular coverage and that coverage. Before is fixed in PLSA and it's hard to a particular document. Each document has just one coverage distribution.	and then next to we choose a coverage from the bottom . so we be go to choose particular coverage and that coverage . before be fix in PLSA and it be hard to a particular document . each document have just one coverage distribution .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133726	170	00:06:58.77	00:07:14.54	Now here, because we consider context so the distribution of topics or the coverage of topics can vary depending on the context that has influenced the coverage. So, for example, we might pick a particular coverage, let's say in this case.	now here , because we consider context so the distribution of topic or the coverage of topic can vary depend on the context that have influence the coverage . so , for example , we might pick a particular coverage , let 's say in this case .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133728	182	00:07:15.29	00:07:43.71	We pick We've picked the document specifically coverage now with the coverage and these word distributions, we can generate the document in exactly the same way as in PLSA. So what it means we're going to use the coverage to choose a topic to choose one of these three topics. Let's say we have picked up, let's say, the yellow topic, then withdraw a word from this particular topic on the top.	we pick we 've pick the document specifically coverage now with the coverage and these word distribution , we can generate the document in exactly the same way as in PLSA . so what it mean we be go to use the coverage to choose a topic to choose one of these three topic . let 's say we have pick up , let 's say , the yellow topic , then withdraw a word from this particular topic on the top .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:40:39.052208	189	00:07:44.72	00:07:58.76	So we might get the word like government. And then next time we might choose a different topic, an will get donate, etc right until we generate all the words and this is basically the same process as in PLSA.	so we might get the word like government . and then next time we might choose a different topic , an will get donate , etc right until we generate all the word and this be basically the same process as in PLSA .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133734	207	00:07:59.47	00:08:39.05	Now, so the main difference is when we obtain the coverage and the word distributions, we let the context influence our choice. So in other words, we have extra switches that are tied to this context that would control the choices of different views of topics and choices of coverage. And naturally, the model will have more parameters to estimate, but once we can estimate those parameters that involve the context, then we will be able to understand the context of specific views of topics or context specific coverages of topics. And this is precisely what we want in contextual text mining.	now , so the main difference be when we obtain the coverage and the word distribution , we let the context influence our choice . so in other word , we have extra switch that be tie to this context that would control the choice of different view of topic and choice of coverage . and naturally , the model will have more parameter to estimate , but once we can estimate those parameter that involve the context , then we will be able to understand the context of specific view of topic or context specific coverage of topic . and this be precisely what we want in contextual text mining .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133737	214	00:08:40.29	00:08:55.17	So here are some sample results from using such a model. Not necessary exactly the same model, but similar models. So on this slide you see some sample results of comparing news articles about Iraq war and Afghanistan war.	so here be some sample result from use such a model . not necessary exactly the same model , but similar model . so on this slide you see some sample result of compare news article about Iraq war and Afghanistan war .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133737	215	00:08:56.21	00:08:57.85	Now we have about 30 articles.	now we have about 30 article .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133738	218	00:08:58.98	00:09:04.89	On Iraq war and 26 articles on Afghanistan war. Now, in this case, the goal is to.	on Iraq war and 26 article on Afghanistan war . now , in this case , the goal be to .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133739	222	00:09:06.46	00:09:17.45	To review the common topics covered in both sets, articles and the differences or variations of the topic in each of the two collections.	to review the common topic cover in both set , article and the difference or variation of the topic in each of the two collection .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.13374	225	00:09:18.53	00:09:23.55	So in this case, the context that is explicitly specified by the topical collection.	so in this case , the context that be explicitly specify by the topical collection .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.13374	226	00:09:24.93	00:09:27.84	And we see the results here show that.	and we see the result here show that .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133741	229	00:09:28.88	00:09:34.97	There is a common theme that's corresponding to cluster around here in this column.	there be a common theme that be correspond to cluster around here in this column .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133743	235	00:09:35.95	00:09:49.87	That there is a common theme indicating that United Nations is involved in both wars is a common topic covered in both sets of articles, and that's indicated by the high probability words showmn here United Nations.	that there be a common theme indicate that United Nations be involve in both war be a common topic cover in both set of article , and that be indicate by the high probability word showmn here United Nations .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:42:43.173107	239	00:09:51.05	00:09:59.35	Now if you the background, of course this is not surprising and this is. This topic is indeed very relevant, to both wars.	now if you the background , of course this be not surprising and this be . this topic be indeed very relevant , to both war .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133748	251	00:10:00.22	00:10:29.089999	If you look at the column further and what's interesting is that the next two cells of word distributions actually tell US collection specific variations of the topic of United Nations. So it indicates that in Iraq war, United Nations was more involved in weapon inspections, whereas in Afghanistan war it was more involved in maybe aid to Northern Alliance as a different variation of the topic of United Nations.	if you look at the column far and what be interesting be that the next two cell of word distribution actually tell US collection specific variation of the topic of United Nations . so it indicate that in Iraq war , United Nations be more involved in weapon inspection , whereas in Afghanistan war it be more involved in maybe aid to Northern Alliance as a different variation of the topic of United Nations .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:43:51.62413	258	00:10:30.01	00:10:45.34	So this shows that by bringing the context, in this case, different wards are different collections of text. We can have topic variations, tied to these contexts to review the differences of coverage of United Nations in the two wars.	so this show that by bring the context , in this case , different ward be different collection of text . we can have topic variation , tie to these context to review the difference of coverage of United Nations in the two war .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.13375	260	00:10:46.19	00:10:48.57	Similarly, if you look at the second cluster.	similarly , if you look at the second cluster .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133752	265	00:10:49.48	00:10:58.53	Cluster 2 has to do with the killing of people and again. Not surprising if you know the background about wars or the wars involved killing of people.	Cluster 2 have to do with the killing of people and again . not surprising if you know the background about war or the war involve killing of people .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133755	277	00:10:59.1	00:11:26.3	But imagine if you are not familiar with the text collections or have a lot of text articles and such a technique can review the common topics covered in both sets of articles. It can be used to review common topics in multiple sets of articles as well. If you look down, of course in that column of cluster 2 you see variations of killing of people and that correspond to in different contexts.	but imagine if you be not familiar with the text collection or have a lot of text article and such a technique can review the common topic cover in both set of article . it can be use to review common topic in multiple set of article as well . if you look down , of course in that column of cluster 2 you see variation of killing of people and that correspond to in different context .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133756	278	00:11:28.39	00:11:31.94	And here is another example of results.	and here be another example of result .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133757	280	00:11:33.36	00:11:36.62	Obtain the front block articles about the Hurricane Katrina.	obtain the front block article about the Hurricane Katrina .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133757	282	00:11:37.35	00:11:43.01	Now in this case, what you see here is visualization of the.	now in this case , what you see here be visualization of the .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:47:00.407329	283	00:11:44.16	00:11:46.28	trends of topics overtime.	trend of topic overtime .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:47:15.091476	286	00:11:47.12	00:11:55.36	And the top one shows just the temporal chains of two topics. One is oil price and one is.	and the top one show just the temporal chain of two topic . one be oil price and one be .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133759	291	00:11:56.02	00:12:06.51	about the flooding of the city. New Orleans. This these topics are obtained from block articles about the Hurricane Katrina.	about the flooding of the city . New Orleans . this these topic be obtain from block article about the Hurricane Katrina .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.13376	292	00:12:07.18	00:12:09.43	And people talked about these topics.	and people talk about these topic .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.13376	293	00:12:10.08	00:12:11.72	And in addition to some other topics.	and in addition to some other topic .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133761	297	00:12:12.29	00:12:18.93	But the visualization shows that with this technique that we can have conditional distribution of time given a topic.	but the visualization show that with this technique that we can have conditional distribution of time give a topic .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:48:56.755089	304	00:12:19.56	00:12:40.54	So this allows us to plot this conditional probability. General curves like what you're seeing here. We see that initially the two curves tracked each other very well. But later anf	so this allow we to plot this conditional probability . general curve like what you be see here . we see that initially the two curve track each other very well . but later anf
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133763	309	00:12:41.87	00:12:52.62	This turns out to be the time period when another Hurricane Hurricane Rita hit the region that apparently tricked more discussion about the flooding of the city.	this turn out to be the time period when another Hurricane Hurricane Rita hit the region that apparently trick more discussion about the flooding of the city .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133765	314	00:12:54.7	00:13:08.72	The bottom curve shows the coverage of this topic about the flooding of the city by block articles in different locations and also shows some shift of coverage.	the bottom curve show the coverage of this topic about the flooding of the city by block article in different location and also show some shift of coverage .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133765	317	00:13:09.42	00:13:19.35	That might be related to peoples migrating from the state of Louisiana to Texas, for example.	that might be relate to people migrate from the state of Louisiana to Texas , for example .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133766	320	00:13:20.47	00:13:26.22	So in this case we can see the time can be used as context to reveal trends of topics.	so in this case we can see the time can be use as context to reveal trend of topic .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133767	324	00:13:27.61	00:13:36.93	This is some additional result on special patterns and this. In this case it's about the topic of government response.	this be some additional result on special pattern and this . in this case it be about the topic of government response .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133769	334	00:13:37.73	00:14:02.87	And there was some criticism about the slow response of government in the case of Hurricane Katrina, and discussion now is covered in different locations and these visualizations show the coverage in different weeks of the event, and initially it's covered mostly in the victim states in the South, but then gradually it's spreading to other.	and there be some criticism about the slow response of government in the case of Hurricane Katrina , and discussion now be cover in different location and these visualization show the coverage in different week of the event , and initially it be cover mostly in the victim state in the South , but then gradually it be spread to other .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:50:35.949552	340	00:14:04.36	00:14:17.97	Locations, but in week four, which is shown on the bottom on the left, we see a pattern that's very similar to the very first week on the top left, and that's why again the hurricane without hit the region.	location , but in week four , which be show on the bottom on the left , we see a pattern that be very similar to the very first week on the top left , and that be why again the hurricane without hit the region .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133772	347	00:14:18.58	00:14:32.86	So such a technique would allow us to use location as context to examine variations of topics. And of course, the model is completely general, so you can apply this to any other collections of text to reveal spatial temporal patterns.	so such a technique would allow we to use location as context to examine variation of topic . and of course , the model be completely general , so you can apply this to any other collection of text to reveal spatial temporal pattern .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133772	350	00:14:34.35	00:14:42.01	Is yet another application of this kind of model where we look at the use of the model for event impact analysis.	be yet another application of this kind of model where we look at the use of the model for event impact analysis .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:50:57.971326	353	00:14:43.2	00:14:48.64	So here we are looking at the research articles in information retrieval, IR, particularly SIGIR papers.	so here we be look at the research article in information retrieval , IR , particularly sigir paper .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133774	358	00:14:49.37	00:14:58.63	And the topic we focus on is about the retrieval models and you can see the top word top words with high probability is about this model on the left.	and the topic we focus on be about the retrieval model and you can see the top word top word with high probability be about this model on the left .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133776	368	00:14:59.46	00:15:22.95	And then we hope to examine the impact of two events. One is the start of TREC for text retrieval conference. This is a major evaluation effort sponsored by US government and was launched in 1992 or around that time and that is known to have made an impact on the topics of research information retrieval.	and then we hope to examine the impact of two event . one be the start of TREC for text retrieval conference . this be a major evaluation effort sponsor by US government and be launch in 1992 or around that time and that be know to have make an impact on the topic of research information retrieval .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-12-12 18:53:58.605722	398	00:15:23.72	00:16:26.69	The other is the publication of a Seminal paper by craft and pond, and this is about the language modeling approach to information retrieval. It's also known to have made a high impact on information retrieval research, so we hope to use this kind of model, understand impact, and the idea here is simply to use the time as context an use these events to divide the time periods into a period before the event an another after this event, and then we can compare the differences of. The topics, the coverage and variations, etc. So in this case the results show I've seen that before TREC the study of retrieval models was mostly a vector space model, Boolean model, etc. But the after TREC. Apparently the study of retrieval models have involved a lot of other words that seem to suggest some different retrieval tasks though. So for example email was used in the enterprise search tasks and subtropical retrieval, with another task introduced later by TREC.	the other be the publication of a seminal paper by craft and pond , and this be about the language modeling approach to information retrieval . it be also know to have make a high impact on information retrieval research , so we hope to use this kind of model , understand impact , and the idea here be simply to use the time as context an use these event to divide the time period into a period before the event an another after this event , and then we can compare the difference of . the topic , the coverage and variation , etc . so in this case the result show I 've see that before TREC the study of retrieval model be mostly a vector space model , boolean model , etc . but the after TREC . apparently the study of retrieval model have involve a lot of other word that seem to suggest some different retrieval task though . so for example email be use in the enterprise search task and subtropical retrieval , with another task introduce later by TREC .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133786	417	00:16:28.09	00:17:10.29	On the bottom we see the variations that are correlated with the publication of the language model paper. Before we have those classical probabilistic model logic model, Boolean model etc. But after 1998 that we see clear dominance of language model as probabilistic models and we see words like a language model, estimation of parameters etc. So this technique here can use event as context. To understand the impact of event again, the technique is general so you can use this to analyze the impact of any event. Here are some suggested readings.	on the bottom we see the variation that be correlate with the publication of the language model paper . before we have those classical probabilistic model logic model , boolean model etc . but after 1998 that we see clear dominance of language model as probabilistic model and we see word like a language model , estimation of parameter etc . so this technique here can use event as context . to understand the impact of event again , the technique be general so you can use this to analyze the impact of any event . here be some suggest reading .
3103be2f-681e-41cf-b0f7-21cf6ba56616	2020-11-02 23:06:11.133789	428	00:17:11.66	00:17:37.62	The first is paper about simple extension of PSA to enable cross collection comparison. It's to perform comparative text mining to allow us to extract the common topics shared by multiple collections and their variations in each collection. The second one is the main paper about the CPLSA model with a discussion of a lot of applications.	the first be paper about simple extension of PSA to enable cross collection comparison . it be to perform comparative text mining to allow we to extract the common topic share by multiple collection and their variation in each collection . the second one be the main paper about the cplsa model with a discussion of a lot of application .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-24 17:56:08.425843	2	00:00:17.67	00:00:22.73	This lecture is  about topic mining and analysis. "We	this lecture be    about topic mining and analysis . " we
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940284	7	00:00:23.68	00:00:38.38	"In this v "about the language namely discovery of word associations such as paradigmatic relations relations and syntagmatic relations.	" in this v " about the language namely discovery of word association such as paradigmatic relation relation and syntagmatic relation .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940287	12	00:00:39.07	00:00:50.32	Now, starting from this lecture, we're going to talk about mining another kind of knowledge, which is content mining and trying to discover knowledge about.	now , start from this lecture , we be go to talk about mine another kind of knowledge , which be content mining and try to discover knowledge about .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940288	13	00:00:51.37	00:00:53.3	The main topics.	the main topic .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940288	14	00:00:54.02	00:00:55.12	In the text.	in the text .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940289	16	00:00:56.04	00:00:58.88	And we call that topic mining and analysis.	and we call that topic mining and analysis .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940298	32	00:00:59.79	00:01:30.91	In this lecture we're going to talk about its motivation and the task definition. So first, let's look at the concept of topic. So topic is something that we all understand, I think, but it's actually not that easy to formally define it. Roughly speaking, topic is the main idea discussed in text data, and you can think of this as a theme or subject of discussion or conversation. It can also have different granularities. For example, we can talk about the topic of a sentence.	in this lecture we be go to talk about its motivation and the task definition . so first , let 's look at the concept of topic . so topic be something that we all understand , I think , but it be actually not that easy to formally define it . roughly speak , topic be the main idea discuss in text datum , and you can think of this as a theme or subject of discussion or conversation . it can also have different granularity . for example , we can talk about the topic of a sentence .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.9403	36	00:01:31.17	00:01:39.63	A topic of article topic of a paragraph, or the topics of all the research articles in the digital library.	a topic of article topic of a paragraph , or the topic of all the research article in the digital library .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940301	38	00:01:40.27	00:01:45.74	So different granularities of topics obviously have different applications.	so different granularity of topic obviously have different application .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940315	66	00:01:46.47	00:02:51.98	Indeed, there are many applications that require discovery of topics in text and then analyze them. Here are some examples. For example, we might be interested in knowing what are Twitter users talking about today? Are they talking about NBA sports or talking about some international events, etc. Or we are interested in knowing about the research topics. For example, one might be interested in knowing what are the current research topics in data mining and how are they different from those five years ago. Now this involves discovery of topics in data mining, literatures and also we want to discover topics in today's literature and those in the past. And then we can make a comparison. We might be also interested in knowing what do people like about some product like iPhone 6 an what do they dislike? And this involves discovering topics in positive opinions about iPhone 6 and also negative reviews about it.	indeed , there be many application that require discovery of topic in text and then analyze they . here be some example . for example , we might be interested in know what be Twitter user talk about today ? be they talk about NBA sport or talk about some international event , etc . or we be interested in know about the research topic . for example , one might be interested in know what be the current research topic in data mining and how be they different from those five year ago . now this involve discovery of topic in data mining , literature and also we want to discover topic in today 's literature and those in the past . and then we can make a comparison . we might be also interested in know what do people like about some product like iPhone 6 an what do they dislike ? and this involve discover topic in positive opinion about iPhone 6 and also negative review about it .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940317	69	00:02:52.41	00:02:58.82	Or perhaps we're interested in knowing what are the major topics debated in 2012 presidential election?	or perhaps we be interested in know what be the major topic debate in 2012 presidential election ?
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940319	73	00:02:59.66	00:03:07.94	And all these have to do is discovering topics in texts and analyzing them, and we're going to talk about a lot of techniques for doing this.	and all these have to do be discover topic in text and analyze they , and we be go to talk about a lot of technique for do this .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940323	82	00:03:08.51	00:03:28.41	In general, we can view topic as some knowledge about the world. So from text that we expected to discover a number of topics and then this topic generally provide the description about the world and it tells us something about the world, about the product, about the person, etc.	in general , we can view topic as some knowledge about the world . so from text that we expect to discover a number of topic and then this topic generally provide the description about the world and it tell we something about the world , about the product , about the person , etc .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940332	100	00:03:29.24	00:04:14.45	Now when we have some non-text data then we can have more context for analyzing the topics. For example, we might know the time associated with the text data or locations where the text data will produced or the authors of text or the sources of the text etc. All such meta data or context variables can be associated with the topics that we discover. And then we can use these context variables to help us analyze patterns of topics. For example, looking at topics overtime, we would be able to discover whether there's a trending topic or some topics might be fading away.	now when we have some non - text datum then we can have more context for analyze the topic . for example , we might know the time associate with the text datum or location where the text datum will produce or the author of text or the source of the text etc . all such meta datum or context variable can be associate with the topic that we discover . and then we can use these context variable to help we analyze pattern of topic . for example , look at topic overtime , we would be able to discover whether there be a trending topic or some topic might be fade away .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940334	104	00:04:15.06	00:04:23.919999	Similar looking at the topics in different locations, we might know some insights about peoples' opinions in different locations.	similar look at the topic in different location , we might know some insight about people ' opinion in different location .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940337	111	00:04:24.96	00:04:39.06	So that's why mining topics is very important. Now let's look at the tasks of topic mining and analysis. In general, it would involve first discovering a lot of topics. In this case K topics.	so that be why mining topic be very important . now let 's look at the task of topic mining and analysis . in general , it would involve first discover a lot of topic . in this case k topic .
380a7417-6702-4df8-9818-5aceba7cde2b	2020-11-02 23:01:30.940339	115	00:04:40.69	00:04:47.93	And then we also would like to know which topics are covered in which documents, to what extent. So for example in.	and then we also would like to know which topic be cover in which document , to what extent . so for example in .
